date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:29	469/469	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22678ae3ce-1d5%22	https://hmpl-lang.dev/images/arrow.svg	C:/copy/copy/hmpl-lang.dev/images/arrow.svg	(from https://hmpl-lang.dev/assets/style-uYM94Zxi.css)
12:06:29	24396/24396	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-5f4c%22	https://hmpl-lang.dev/installation.html	C:/copy/copy/hmpl-lang.dev/installation.html	(from https://hmpl-lang.dev/introduction.html)
12:06:29	26741/26741	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-6875%22	https://hmpl-lang.dev/server-configuration.html	C:/copy/copy/hmpl-lang.dev/server-configuration.html	(from https://hmpl-lang.dev/introduction.html)
12:06:29	61247/61247	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-ef3f%22	https://hmpl-lang.dev/hmpl.html	C:/copy/copy/hmpl-lang.dev/hmpl.html	(from https://hmpl-lang.dev/introduction.html)
12:06:30	49707/49707	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-c22b%22	https://hmpl-lang.dev/request.html	C:/copy/copy/hmpl-lang.dev/request.html	(from https://hmpl-lang.dev/introduction.html)
12:06:30	57944/57944	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-e258%22	https://hmpl-lang.dev/types.html	C:/copy/copy/hmpl-lang.dev/types.html	(from https://hmpl-lang.dev/introduction.html)
12:06:30	20486/20486	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-5006%22	https://hmpl-lang.dev/webpack.html	C:/copy/copy/hmpl-lang.dev/webpack.html	(from https://hmpl-lang.dev/introduction.html)
12:06:30	26483/26483	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-6773%22	https://hmpl-lang.dev/vs-code-extension.html	C:/copy/copy/hmpl-lang.dev/vs-code-extension.html	(from https://hmpl-lang.dev/introduction.html)
12:06:31	17452/17452	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-442c%22	https://hmpl-lang.dev/about/discussion-and-development-of-an-open-source-project.html	C:/copy/copy/hmpl-lang.dev/about/discussion-and-development-of-an-open-source-project.html	(from https://hmpl-lang.dev/introduction.html)
12:06:31	18797/18797	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-496d%22	https://hmpl-lang.dev/about/github-repository-with-examples.html	C:/copy/copy/hmpl-lang.dev/about/github-repository-with-examples.html	(from https://hmpl-lang.dev/introduction.html)
12:06:31	16489/16489	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-4069%22	https://hmpl-lang.dev/about/server-side-rendering.html	C:/copy/copy/hmpl-lang.dev/about/server-side-rendering.html	(from https://hmpl-lang.dev/introduction.html)
12:06:31	21174/21174	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-52b6%22	https://hmpl-lang.dev/changelog.html	C:/copy/copy/hmpl-lang.dev/changelog.html	(from https://hmpl-lang.dev/introduction.html)
12:06:32	15898/15898	---M-Z	200	added ('OK')	text/html	etag:W/%22678ae3ce-3e1a%22	https://hmpl-lang.dev/about/	C:/copy/copy/hmpl-lang.dev/about/index.html	(from https://hmpl-lang.dev/examples.html)
12:06:32	106/106	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Jan%202025%2009:06:33%20GMT	https://unpkg.com/hmpl-js/dist/hmpl.min.js	C:/copy/copy/unpkg.com/hmpl-js/dist/hmpl.min.2a.delayed	(from https://hmpl-lang.dev/installation.html)
12:06:33	13143/13143	---MCZ	200	added ('OK')	application/javascript	etag:W/%223357-4Efk88CGoK/87zVuuexHW3Ei/cE%22	https://unpkg.com/hmpl-js@2.2.3/dist/hmpl.min.js	C:/copy/copy/unpkg.com/hmpl-js@2.2.3/dist/hmpl.min.js	(from https://hmpl-lang.dev/installation.html)
12:06:33	98/98	---MC-	302	error ('Found')	text/html	date:Sat,%2018%20Jan%202025%2009:06:34%20GMT	https://unpkg.com/hmpl-js/dist/hmpl.js	C:/copy/copy/unpkg.com/hmpl-js/dist/hmpl.2c.delayed	(from https://hmpl-lang.dev/installation.html)
12:06:34	53280/53280	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d020-YMROlB3qeT4ZNwJ0G3zf83wq4sQ%22	https://unpkg.com/hmpl-js@2.2.3/dist/hmpl.js	C:/copy/copy/unpkg.com/hmpl-js@2.2.3/dist/hmpl.js	(from https://hmpl-lang.dev/installation.html)
12:06:34	55290/55290	---M--	200	added ('OK')	image/png	etag:%22678ae3ce-d7fa%22	https://hmpl-lang.dev/images/memo.png	C:/copy/copy/hmpl-lang.dev/images/memo.png	(from https://hmpl-lang.dev/request.html)
